line;id;diva;name;led_index_simple
U1;4134;60200949;Oberlaa;0
U1;4135;60201481;Neulaa;2
U1;4136;60200014;Alaudagasse;4
U1;4137;60200033;Altes Landgut;6
U1;4138;60201573;Troststraße;8
U1;4101;60201095;Reumannplatz;10
U1;4103;60200666;Keplerplatz;12
U1;4105;60201349;Südtiroler Platz;14
U1;4107;60201366;Taubstummengasse;16
U1;4109;60200657;Karlsplatz;18
U1;4111;60201320;Stephansplatz;20
U1;4113;60201198;Schwedenplatz;22
U1;4115;60200916;Nestroyplatz;24
U1;4117;60201040;Praterstern;26
U1;4119;60201433;Vorgartenstraße;28
U1;4121;60200234;Donauinsel;30
U1;4123;60200641;Kaisermühlen, V.I.C.;32
U1;4125;60200031;Alte Donau;34
U1;4127;60200627;Kagran;36
U1;4181;60200633;Kagraner Platz;38
U1;4182;60201860;Rennbahnweg;40
U1;4183;60201858;Aderklaaer Straße;42
U1;4184;60201859;Großfeldsiedlung;44
U1;4185;60200769;Leopoldau;46
U1;4190;60200769;Leopoldau;46
U1;4189;60201859;Großfeldsiedlung;44
U1;4188;60201858;Aderklaaer Straße;42
U1;4187;60201860;Rennbahnweg;40
U1;4186;60200633;Kagraner Platz;38
U1;4102;60200627;Kagran;36
U1;4104;60200031;Alte Donau;34
U1;4106;60200641;Kaisermühlen, V.I.C.;32
U1;4108;60200234;Donauinsel;30
U1;4110;60201433;Vorgartenstraße;28
U1;4112;60201040;Praterstern;26
U1;4114;60200916;Nestroyplatz;24
U1;4116;60201198;Schwedenplatz;22
U1;4118;60201320;Stephansplatz;20
U1;4120;60200657;Karlsplatz;18
U1;4122;60201366;Taubstummengasse;16
U1;4124;60201349;Südtiroler Platz;14
U1;4126;60200666;Keplerplatz;12
U1;4128;60201095;Reumannplatz;10
U1;4129;60201573;Troststraße;8
U1;4130;60200033;Altes Landgut;6
U1;4131;60200014;Alaudagasse;4
U1;4132;60201481;Neulaa;2
U1;4133;60200949;Oberlaa;0
U2;4277;60200942;Seestadt;48
U2;4278;60200910;Aspern Nord;50
U2;4279;60200487;Hausfeldstraße;52
U2;4251;60200299;Aspernstraße;54
U2;4252;60201278;Donauspital;56
U2;4253;60200473;Hardeggasse;58
U2;4254;60201299;Stadlau;60
U2;4256;60200290;Donaustadtbrücke;62
U2;4255;60200282;Donaumarina;64
U2;4257;60201894;Stadion;66
U2;4258;60201893;Krieau;68
U2;4259;60201892;Messe;70
U2;4260;60201040;Praterstern;72
U2;4261;60201891;Taborstraße;74
U2;4201;60201182;Schottenring;76
U2;4203;60201184;Schottentor;78
U2;4205;60201072;Rathaus;80
U2;4209;60201430;Volkstheater;82
U2;4211;60200835;Museumsquartier;84
U2;4213;60200657;Karlsplatz;86
U2;4202;60200657;Karlsplatz;86
U2;4204;60200835;Museumsquartier;84
U2;4206;60201430;Volkstheater;82
U2;4210;60201072;Rathaus;80
U2;4212;60201184;Schottentor;78
U2;4214;60201182;Schottenring;76
U2;4262;60201891;Taborstraße;74
U2;4263;60201040;Praterstern;72
U2;4264;60201892;Messe;70
U2;4265;60201893;Krieau;68
U2;4266;60201894;Stadion;66
U2;4268;60200282;Donaumarina;64
U2;4267;60200290;Donaustadtbrücke;62
U2;4269;60201299;Stadlau;60
U2;4270;60200473;Hardeggasse;58
U2;4271;60201278;Donauspital;56
U2;4272;60200299;Aspernstraße;54
U2;4274;60200487;Hausfeldstraße;52
